X,Y,tipo,sentido,sistema,estacion,label,objectid,linea
-8411139.94641382,702723.825150818,1,C,Metro,4,Estación Acevedo (Línea A),1,A
-8411825.7880505,701645.623456892,1,C,Metro,5,Estación Tricentenario (Línea A),2,A
-8412347.668071,700302.96554739,1,C,Metro,6,Estación Caribe (Línea A),3,A
-8411949.49386053,699306.951199442,1,C,Metro,7,Estación Universidad (Línea A),4,A
-8411671.95287296,698689.531904139,1,C,Metro,8,Estación Hospital (Línea A),5,A
-8411987.80552354,697897.853546552,1,C,Metro,9,Estación Prado (Línea A),6,A
-8412217.5440064,697186.904000614,1,C,Metro,10,Estación Parque Berrío (Línea A),7,A
-8412380.90272968,696816.563383114,1,C,Metro,11,Estación San Antonio (Línea A),8,A
-8412987.43477372,697024.746101316,1,C,Metro,22,Estación Cisneros (Línea B),9,B
-8412572.58158117,696337.559183024,1,C,Metro,12,Estación Alpujarra (Línea A),10,A
-8412766.09545526,695833.942393243,1,C,Metro,13,Estación Exposiciones (Línea A),11,A
-8413039.37006431,694901.217228226,1,C,Metro,14,Estación Industriales (Línea A),12,A
-8413315.12420757,692895.422590978,1,C,Metro,15,Estación Poblado (Línea A),13,A
-8413728.55165379,690850.902123794,1,C,Metro,16,Estación Aguacatala (Línea A),14,A
-8413854.58399976,697464.901494194,1,C,Metro,23,Estación Suramericana (Línea B),15,B
-8414446.20950812,697504.273778971,1,C,Metro,24,Estación Estadio (Línea B),16,B
-8415502.33379265,698106.022932563,1,C,Metro,25,Estación Floresta (Línea B),17,B
-8416170.53449365,698036.497865137,1,C,Metro,26,Estación Santa Lucia (Línea B),18,B
-8417274.59624229,697890.099958342,1,C,Metro,27,Estación San Javier (Línea B),19,B
-8410780.24899159,704508.425951611,1,C,Metro,3,Estación Madera (Línea A),20,A
-8410592.18489007,706101.16986436,1,C,Metro,2,Estación Bello (Línea A),21,A
-8409551.60559232,706966.931694727,1,C,Metro,1,Estación Niquía (Línea A),22,A
-8414202.14023268,689982.21894851,1,C,Metro,17,Estación Ayurá (Línea A),23,A
-8415426.83356307,688697.307738308,1,C,Metro,18,Estación Envigado (Línea A),24,A
-8416517.51734801,687376.965162575,1,C,Metro,19,Estación Itaguí (Línea A),25,A
-8417561.59770524,686794.185659885,1,C,Metro,20,Estación Sabaneta (Línea A),26,A
-8418688.24412666,686245.024868935,1,C,Metro,21,Estación La Estrella (Línea A),27,A
-8412383.62931462,696817.436573889,1,C,Metro,11,Estación San Antonio (Línea B),28,B
-8404952.36646634,700663.492396586,1,C,Cable,35,Estación Arví (Línea L),29,L
-8409266.61465615,701964.138602823,1,C,Cable,33,Estación Santo Domingo (Línea K),30,K
-8409980.62705656,702184.008471306,1,C,Cable,32,Estación Popular (Línea K),31,K
-8410398.69530474,702312.741885521,1,C,Cable,31,Estación Andalucía (Línea K),32,K
-8417278.86718279,698886.295892879,1,C,Cable,28,Estación Juan XXIII (Línea J),33,J
-8417313.88667665,699970.828801081,1,C,Cable,29,Estación Vallejuelos (Línea J),34,J
-8417334.61646028,700612.807613079,1,C,Cable,30,Estación La Aurora (Línea J),35,J
-8409229.56995778,696863.668144047,1,C,Cable,81,Estación 13 de Noviembre (Línea M),36,M
-8407814.13961657,695436.930739015,1,C,Cable,91,Estación Villa Sierra (Línea H),37,H
-8409572.59549688,696600.270905469,1,C,Cable,80,Estación El Pinal (Línea M),38,M
-8408670.48035163,695635.236460149,1,C,Cable,90,Estación Las Torres (Línea H),39,H
-8409280.01182307,701915.21636726,1,C,Cable,33,Estación Santo Domingo (Línea L),40,L
-8411112.3740726,702760.737345811,1,C,Cable,4,Estación Acevedo (Línea K),41,K
-8410088.60492669,696204.0390938,1,C,Cable,79,Estación Miraflores (Línea M),42,M
-8409067.33664835,695267.554941073,1,C,Cable,78,Estación Oriente (Línea H),43,H
-8417246.48107017,697883.295616321,1,C,Cable,27,Estación San Javier (Línea J),44,J
-8409267.93403649,695508.028586365,1,C,T,77,Estación Alejandro Echavarría (Línea T),45,T
-8411162.984639,696453.340172201,1,C,T,73,Estación Bicentenario (Línea T),46,T
-8409650.48498128,695902.048972897,1,C,T,76,Estación Loyola (Línea T),47,T
-8409089.89014009,695243.837134678,1,C,T,78,Estación Oriente (Línea T),48,T
-8411522.61583236,696636.725712799,1,C,T,72,Estación Pabellón del Agua (Línea T),49,T
-8411900.31476967,696831.639438432,1,C,T,71,Estación San José (Línea T),50,T
-8410621.67540134,696167.581457749,1,C,T,74,Estación Buenos Aires (Línea T),51,T
-8410076.58735863,696166.310170107,1,C,T,75,Estación Miraflores (Línea T),52,T
-8412320.09365851,696794.532384254,1,C,T,11,Estación San Antonio (Línea T),53,T
-8416780.41484733,694965.750858888,1,A,MPLUS,36,Estación Universidad de Medellín (Línea 1),54,1
-8416328.88484401,695013.438976746,2,B,MPLUS,37,Parada Los Alpes (Línea 1),55,1
-8415867.9265621,695022.958566807,2,B,MPLUS,38,Parada La Palma (Línea 1),56,1
-8413075.96008852,703206.040795881,1,C,C,93,Estación Doce de Octubre (Línea P),57,P
-8413786.88789993,703402.12396935,1,C,C,94,Estación El Progreso (Línea P),58,P
-8411168.02864577,702679.759018455,1,C,C,4,Estación Acevedo (Línea P),59,P
-8415391.71638483,695047.401213579,2,B,MPLUS,39,Parada Parque Belén (Línea 1),60,1
-8414748.29061412,695069.815599367,2,B,MPLUS,40,Parada Rosales (Línea 1),61,1
-8414257.82788533,695086.223942827,2,B,MPLUS,41,Parada Fátima (Línea 1),62,1
-8413756.22752016,695099.940145597,2,B,MPLUS,42,Parada Nutibara (Línea 1),63,1
-8413015.12556761,696420.95861936,2,B,MPLUS,44,Parada Plaza Mayor (Línea 1),64,1
-8412974.48167039,697226.272692624,2,A,MPLUS,45,Parada Cisneros (Línea 1),65,1
-8412764.04448069,697812.878294352,2,A,MPLUS,46,Parada Minorista (Línea 1),66,1
-8412318.47549247,698330.175726898,2,A,MPLUS,47,Parada Chagualo (Línea 1),67,1
-8412144.53308154,698690.824488819,2,A,MPLUS,48,Parada Ruta N (Línea 1),68,1
-8411319.64381778,698641.023595862,2,B,MPLUS,49,Parada San Pedro (Línea 1),69,1
-8410846.88969293,698487.23250908,2,B,MPLUS,50,Parada Palos Verdes (Línea 1),70,1
-8410749.03952951,699109.293431032,2,B,MPLUS,51,Parada Gardel (Línea 1),71,1
-8410641.56747803,699735.275811817,2,B,MPLUS,52,Parada Manrique (Línea 1),72,1
-8410540.19201201,700310.461406659,2,B,MPLUS,53,Parada Las Esmeraldas (Línea 1),73,1
-8410514.58524709,700818.741201404,2,B,MPLUS,54,Parada Berlin (Línea 1),74,1
-8410928.80464036,701072.754748259,2,A,MPLUS,55,Parada Parque Aranjuez (Línea 1),75,1
-8412523.67572796,694737.031013086,3,A,MPLUS,608,Paradero Barrio Colombia (Línea 2),76,2
-8412394.87423481,694785.545660872,3,B,MPLUS,608,Paradero Barrio Colombia (Línea 2),77,2
-8412418.62281621,695348.938609704,2,A,MPLUS,609,Parada Perpetuo Socorro (Línea 2),78,2
-8412389.62385228,696079.151285678,2,A,MPLUS,610,Parada Barrio Colón (Línea 2),79,2
-8411978.85974709,696803.761332449,2,A,MPLUS,611,Parada San José (Línea 2),80,2
